step,train_loss,val_loss,train_acc,val_acc,in_context_acc
0,0.6931473612785339,0.6862239241600037,0.49399998784065247,0.9070000052452087,0.9843500256538391
1,0.6876883506774902,0.6862239241600037,0.890999972820282,0.9070000052452087,0.9843500256538391
2,0.6823338866233826,0.6862239241600037,0.9390000104904175,0.9070000052452087,0.9843500256538391
3,0.6766409873962402,0.6862239241600037,0.972000002861023,0.9070000052452087,0.9843500256538391
4,0.6714895367622375,0.6862239241600037,0.9810000061988831,0.9070000052452087,0.9843500256538391
5,0.6667830944061279,0.6862239241600037,0.9850000143051147,0.9070000052452087,0.9843500256538391
6,0.6612955331802368,0.6862239241600037,0.9959999918937683,0.9070000052452087,0.9843500256538391
7,0.6554380059242249,0.6862239241600037,0.9959999918937683,0.9070000052452087,0.9843500256538391
8,0.6511477828025818,0.6862239241600037,0.996999979019165,0.9070000052452087,0.9843500256538391
9,0.6464390754699707,0.6862239241600037,0.9950000047683716,0.9070000052452087,0.9843500256538391
10,0.6411646604537964,0.6862239241600037,0.996999979019165,0.9070000052452087,0.9843500256538391
11,0.636134684085846,0.6862239241600037,0.9980000257492065,0.9070000052452087,0.9843500256538391
12,0.6302670240402222,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
13,0.627009928226471,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
14,0.6215308904647827,0.6862239241600037,0.996999979019165,0.9070000052452087,0.9843500256538391
15,0.6176023483276367,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
16,0.6125730276107788,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
17,0.6085721850395203,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
18,0.6040928959846497,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
19,0.5984938740730286,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
20,0.5934438109397888,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
21,0.5898000597953796,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
22,0.5834373831748962,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
23,0.5820034742355347,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
24,0.5771077275276184,0.6862239241600037,0.9959999918937683,0.9070000052452087,0.9843500256538391
25,0.5731838941574097,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
26,0.5682418346405029,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
27,0.5643147230148315,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
28,0.5596480965614319,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
29,0.558083176612854,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
30,0.5552085638046265,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
31,0.5490267872810364,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
32,0.5466678738594055,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
33,0.5421415567398071,0.6862239241600037,0.9980000257492065,0.9070000052452087,0.9843500256538391
34,0.5372757315635681,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
35,0.5343002080917358,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
36,0.5313153266906738,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
37,0.528387188911438,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
38,0.5238768458366394,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
39,0.5204798579216003,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
40,0.5174223780632019,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
41,0.5126174688339233,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
42,0.5091908574104309,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
43,0.5052830576896667,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
44,0.5039382576942444,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
45,0.5003032088279724,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
46,0.495231568813324,0.6862239241600037,0.9990000128746033,0.9070000052452087,0.9843500256538391
47,0.49448126554489136,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
48,0.49215561151504517,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
49,0.48605257272720337,0.6862239241600037,1.0,0.9070000052452087,0.9843500256538391
50,0.4858916699886322,0.436799556016922,1.0,1.0,1.0
