step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
49,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0042469501495361,1460.886332194152,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
50,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0105452537536621,1444.9234643388604,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
51,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0110290050506591,1426.9532299873467,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
52,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.007699966430664,1414.0804423316813,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
53,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0066578388214111,1405.3135412232905,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
54,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0089149475097656,1398.3598180269687,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
55,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.006782054901123,1393.8434733896215,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
56,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0064492225646972,1395.739187597131,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
57,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0033748149871826,1408.2797969693602,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
58,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0141389369964599,1384.6514394360318,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
59,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0073211193084716,1383.8537897600922,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
60,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0094389915466308,1376.5556053529376,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
61,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0025029182434082,1390.562391849778,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
62,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.003005027770996,1403.1377813272616,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
63,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0033371448516845,1414.3963580416043,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
64,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0023658275604248,1428.6817159707189,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
65,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0026419162750244,1442.0083012451869,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
66,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0027570724487304,1454.86193952001,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
67,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0044648647308349,1462.0262824968577,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
68,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0044260025024414,1469.038878846807,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
69,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0020661354064941,1483.3059593173791,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
70,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0031459331512451,1494.242884804609,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
71,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0045559406280517,1500.444126458883,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
72,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0030760765075683,1511.1222364579282,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
73,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.00465989112854,1516.801282333221,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
74,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.016824722290039,1485.713530041307,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
75,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0165491104125976,1457.273675255015,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
76,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0099139213562011,1448.4035743516722,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
77,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.011768102645874,1432.1466415510952,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
78,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0096240043640136,1424.876996590788,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
79,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0252220630645751,1379.7410048039897,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
80,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0342001914978027,1318.70498252342,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
81,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0153760910034179,1301.8683864774605,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
82,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0083482265472412,1300.100877844892,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
83,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0145740509033203,1285.899930763467,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
84,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0087678432464599,1283.7050871710449,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
85,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0167241096496582,1266.544652958266,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
86,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.006127119064331,1269.5061928116002,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
87,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0087840557098388,1267.1317478169285,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
88,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0066897869110107,1268.592743229062,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
89,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0048980712890625,1273.7090231556244,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
90,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0044107437133789,1279.491531048687,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
91,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0053799152374267,1283.6576708561954,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
92,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0052568912506103,1287.9085261023583,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
93,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.005389928817749,1291.8109455018464,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
94,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0060470104217529,1294.470562131091,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
95,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0044710636138916,1299.9799314259149,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
96,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.004584789276123,1305.2006495727153,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
97,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0094151496887207,1301.8655705502974,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
98,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0099818706512451,1297.611988992507,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
99,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0088529586791992,1295.0482967983687,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
100,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0045418739318847,1300.098772282381,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
101,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.013157844543457,1286.477157775594,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
102,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0106019973754882,1281.6765711698706,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
103,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0080299377441406,1280.9701608467528,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
104,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0135939121246337,1271.7870407082703,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
105,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0067231655120849,1273.2933585703022,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
106,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0047240257263183,1277.793675243364,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
107,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.002932071685791,1285.0473128846052,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
108,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.008995771408081,1283.0476635230752,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
109,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0072619915008544,1283.490672458193,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
110,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0177552700042724,1268.5976991449452,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
111,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0337288379669189,1232.2833106032406,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
112,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0112471580505371,1227.8044885826982,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
113,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0129122734069824,1221.0850595729846,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
114,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0057320594787597,1224.089397145851,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
115,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0040140151977539,1229.0286632329055,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
116,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0032858848571777,1235.144279498536,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
117,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0042109489440917,1240.057416761856,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
118,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0176560878753662,1227.6091216331715,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
119,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0065257549285888,1229.4255182568477,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
120,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0090417861938476,1228.137283229301,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
121,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0136239528656005,1220.6935388333893,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
122,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0252647399902343,1200.1559390341467,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
123,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.017590045928955,1189.263742839693,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
124,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0124189853668212,1184.3841151998613,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
125,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0108711719512939,1179.7809887052,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
126,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0123250484466552,1175.3590673324752,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
127,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0052237510681152,1178.1566653616778,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
128,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0109612941741943,1175.333432967583,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
129,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0037522315979003,1179.991417213659,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
130,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0036699771881103,1184.953266432661,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
131,2.4747730324390522e-22,1.0,0.9300000071525574,0.503541886806488,0.8999999761581421,0.0079100131988525,1185.2874596740785,d10_B10_R1_20251031_174106,2025-10-31 17:41:11,10,40,10,15.811388300841898
