step,train_loss,val_loss,train_acc,val_acc,in_context_acc
0,0.6931473612785339,0.6880620718002319,0.5329999923706055,0.8840000033378601,0.9655500054359436
1,0.6900784969329834,0.6880620718002319,0.8080000281333923,0.8840000033378601,0.9655500054359436
2,0.686948835849762,0.6880620718002319,0.8730000257492065,0.8840000033378601,0.9655500054359436
3,0.6840078830718994,0.6880620718002319,0.8920000195503235,0.8840000033378601,0.9655500054359436
4,0.6809725165367126,0.6880620718002319,0.9399999976158142,0.8840000033378601,0.9655500054359436
5,0.6779927015304565,0.6880620718002319,0.9449999928474426,0.8840000033378601,0.9655500054359436
6,0.6749349236488342,0.6880620718002319,0.9589999914169312,0.8840000033378601,0.9655500054359436
7,0.671966552734375,0.6880620718002319,0.9629999995231628,0.8840000033378601,0.9655500054359436
8,0.6688474416732788,0.6880620718002319,0.9670000076293945,0.8840000033378601,0.9655500054359436
9,0.6655174493789673,0.6880620718002319,0.972000002861023,0.8840000033378601,0.9655500054359436
10,0.6633436679840088,0.6880620718002319,0.9710000157356262,0.8840000033378601,0.9655500054359436
11,0.6602512001991272,0.6880620718002319,0.9760000109672546,0.8840000033378601,0.9655500054359436
12,0.6574743390083313,0.6880620718002319,0.9739999771118164,0.8840000033378601,0.9655500054359436
13,0.655455470085144,0.6880620718002319,0.9850000143051147,0.8840000033378601,0.9655500054359436
14,0.6510999202728271,0.6880620718002319,0.9850000143051147,0.8840000033378601,0.9655500054359436
15,0.64955735206604,0.6880620718002319,0.9850000143051147,0.8840000033378601,0.9655500054359436
16,0.6459757089614868,0.6880620718002319,0.9860000014305115,0.8840000033378601,0.9655500054359436
17,0.6445391774177551,0.6880620718002319,0.9850000143051147,0.8840000033378601,0.9655500054359436
18,0.6405940651893616,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
19,0.6374466419219971,0.6880620718002319,0.9860000014305115,0.8840000033378601,0.9655500054359436
20,0.6356086134910583,0.6880620718002319,0.9850000143051147,0.8840000033378601,0.9655500054359436
21,0.6328615546226501,0.6880620718002319,0.9860000014305115,0.8840000033378601,0.9655500054359436
22,0.6294345855712891,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
23,0.6257145404815674,0.6880620718002319,0.9890000224113464,0.8840000033378601,0.9655500054359436
24,0.6233013868331909,0.6880620718002319,0.9909999966621399,0.8840000033378601,0.9655500054359436
25,0.6219130754470825,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
26,0.6194402575492859,0.6880620718002319,0.984000027179718,0.8840000033378601,0.9655500054359436
27,0.6174631118774414,0.6880620718002319,0.9879999756813049,0.8840000033378601,0.9655500054359436
28,0.6127324104309082,0.6880620718002319,0.9879999756813049,0.8840000033378601,0.9655500054359436
29,0.6110427379608154,0.6880620718002319,0.9879999756813049,0.8840000033378601,0.9655500054359436
30,0.6081268787384033,0.6880620718002319,0.9890000224113464,0.8840000033378601,0.9655500054359436
31,0.6075419783592224,0.6880620718002319,0.9869999885559082,0.8840000033378601,0.9655500054359436
32,0.6065243482589722,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
33,0.6015937924385071,0.6880620718002319,0.9869999885559082,0.8840000033378601,0.9655500054359436
34,0.601249635219574,0.6880620718002319,0.9879999756813049,0.8840000033378601,0.9655500054359436
35,0.5962975025177002,0.6880620718002319,0.9909999966621399,0.8840000033378601,0.9655500054359436
36,0.5945878028869629,0.6880620718002319,0.9890000224113464,0.8840000033378601,0.9655500054359436
37,0.5934469103813171,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
38,0.59141606092453,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
39,0.5880079865455627,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
40,0.5857338905334473,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
41,0.5836038589477539,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
42,0.581161618232727,0.6880620718002319,0.9909999966621399,0.8840000033378601,0.9655500054359436
43,0.5766340494155884,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
44,0.5758222937583923,0.6880620718002319,0.9929999709129333,0.8840000033378601,0.9655500054359436
45,0.5720450282096863,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
46,0.5711353421211243,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
47,0.567637026309967,0.6880620718002319,0.9950000047683716,0.8840000033378601,0.9655500054359436
48,0.5672183632850647,0.6880620718002319,0.9919999837875366,0.8840000033378601,0.9655500054359436
49,0.5656766295433044,0.6880620718002319,0.9900000095367432,0.8840000033378601,0.9655500054359436
50,0.5656900405883789,0.48181450366973877,0.9850000143051147,1.0,1.0
51,0.5605640411376953,0.48181450366973877,0.9919999837875366,1.0,1.0
52,0.5589591860771179,0.48181450366973877,0.9929999709129333,1.0,1.0
53,0.5567275285720825,0.48181450366973877,0.9929999709129333,1.0,1.0
54,0.5542510747909546,0.48181450366973877,0.9890000224113464,1.0,1.0
55,0.5513350367546082,0.48181450366973877,0.9900000095367432,1.0,1.0
56,0.5487407445907593,0.48181450366973877,0.9929999709129333,1.0,1.0
57,0.5487897992134094,0.48181450366973877,0.9950000047683716,1.0,1.0
