step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
0,0.6931471824645996,0.0,0.75,0.03927874565124512,1.0,0.012782812118530273,76.73443102817417,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
1,0.0,1.0,0.75,0.03927874565124512,1.0,0.010459184646606445,83.83661639632616,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
2,0.0,1.0,0.75,0.03927874565124512,1.0,0.010251998901367188,87.49860577023371,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
3,0.0,1.0,0.75,0.03927874565124512,1.0,0.009610891342163086,90.53838806292329,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
4,0.0,1.0,0.75,0.03927874565124512,1.0,0.014706134796142578,84.32117727473765,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
5,0.0,1.0,0.75,0.03927874565124512,1.0,0.010882139205932617,85.23679914376486,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
6,0.0,1.0,0.75,0.03927874565124512,1.0,0.03168916702270508,68.38417015845214,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
7,0.0,1.0,0.75,0.03927874565124512,1.0,0.03533482551574707,57.62979934425779,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
8,0.0,1.0,0.75,0.03927874565124512,1.0,0.005886077880859375,62.10359061258401,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
9,0.0,1.0,0.75,0.03927874565124512,1.0,0.004024982452392578,67.04707341713876,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
10,0.0,1.0,0.75,0.03927874565124512,1.0,0.00662994384765625,70.54122021625324,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
11,0.0,1.0,0.75,0.03927874565124512,1.0,0.011528968811035156,71.46214745737684,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
12,0.0,1.0,0.75,0.03927874565124512,1.0,0.002500772476196289,76.21413106225478,d1000_B1_R7_20251106_193334,2025-11-06 19:33:38,1000,40,1,193.64916731037084
