step,train_loss,train_acc,in_context_acc,val_loss,val_acc,batch_time,samples_per_second,experiment_name,timestamp,d,N,B,R_train
0,0.6931473612785339,0.4909999966621399,1.0,0.001517751021310687,1.0,0.3528602123260498,2822.531238055246,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
1,0.0,1.0,1.0,0.001517751021310687,1.0,0.11758708953857422,4234.9745783633125,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
2,0.0,1.0,1.0,0.001517751021310687,1.0,0.16606473922729492,4697.586156303818,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
3,0.0,1.0,1.0,0.001517751021310687,1.0,0.13945889472961426,5139.560381321859,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
4,0.0,1.0,1.0,0.001517751021310687,1.0,0.12534713745117188,5529.965388142736,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
5,0.0,1.0,1.0,0.001517751021310687,1.0,0.1766068935394287,5549.528443351457,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
6,0.0,1.0,1.0,0.001517751021310687,1.0,0.14945578575134277,5686.747940063952,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
7,0.0,1.0,1.0,0.001517751021310687,1.0,0.1388709545135498,5839.037519605176,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
8,0.0,1.0,1.0,0.001517751021310687,1.0,0.25904107093811035,5523.82479801879,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
9,0.0,1.0,1.0,0.001517751021310687,1.0,0.24574589729309082,5330.354447962596,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
10,0.0,1.0,1.0,0.001517751021310687,1.0,0.13804984092712402,5460.29336978788,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
11,0.0,1.0,1.0,0.001517751021310687,1.0,0.20966601371765137,5394.425135804734,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
12,0.0,1.0,1.0,0.001517751021310687,1.0,0.1901700496673584,5383.110015914574,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
13,0.0,1.0,1.0,0.001517751021310687,1.0,0.17353272438049316,5408.097374800144,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
14,0.0,1.0,1.0,0.001517751021310687,1.0,0.22812700271606445,5324.3753325377675,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
15,0.0,1.0,1.0,0.001517751021310687,1.0,0.16151881217956543,5370.971373142367,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
16,0.0,1.0,1.0,0.001517751021310687,1.0,0.21884393692016602,5315.66790971728,d1000_B1000_R7_20251106_193320,2025-11-06 19:34:24,1000,40,1000,158.11388300841895
