num_layers,mse_lsa_mean,mse_lsa_std,mse_gd_mean,mse_gd_std,cosine_sim_mean,cosine_sim_std
1,10.30404310,2.18111726,16.35005293,3.56777364,0.85884419,0.00510066
2,7.76003084,1.32300005,13.95960808,1.55996110,0.90122636,0.00528062
4,6.41057701,0.83853911,10.77435760,1.77105129,0.89664875,0.00534361
